n,lowest2015,highest2015,lowest2019,highest2019,lowestdiff,highestdiff,decile1prop2015,decile1prop2019,decile10prop2015,decile10prop2019,decile1propdiff,decile10propdiff,mean2019,median2019,mean2015,median2015,meandiff,mediandiff
Wirral,36,32724,19,32247,-17,-477,21.3592,25.2427,8.7379,6.3107,3.88349514563107,-2.4272,13259.211843332298,12344,14549.894634776987,14552,-1290.6827914446894,-2208
North Kesteven,8924,32365,8868,32520,-56,155,-999999,-999999,14.0625,15.625,0,1.5625,23381.007273634856,25435,23089.456696228368,24777,291.5505774064877,658
West Lancashire,327,31761,658,32308,331,547,8.2192,8.2192,8.2192,13.6986,0,5.4795,18773.669529346917,20421,17821.42287130944,19001,952.2466580374748,1420
Forest of Dean,4540,28401,2729,26118,-1811,-2283,-999999,2,-999999,-999999,2,0,16875.101057037456,17484,17538.99744956546,18265,-663.8963925280041,-781
Plymouth,154,30221,163,31190,9,969,16.7702,17.3913,2.4845,1.2422,0.6211180124223574,-1.2422,12985.410963096723,11586,13243.876671343198,12431,-258.4657082464746,-845
Havering,2537,32568,2185,32563,-352,-5,0.6667,0.6667,5.3333,7.3333,0,2,18809.00380952381,19097,17854.06502650866,17869,954.93878301515,1228
Cheshire East,1474,32831,1255,32784,-219,-47,2.5641,1.7094,26.9231,28.2051,-0.8547008547008543,1.2821,21464.276955816513,23395,21747.800570558942,24577,-283.52361474242934,-1182
Blaby,10658,31957,10484,31524,-174,-433,-999999,-999999,18.3333,20,0,1.6667,24106.36309337995,24066,24115.33428237544,24279,-8.971188995488774,-213
Ealing,1641,29215,2075,29992,434,777,4.0816,2.0408,-999999,0.5102,-2.0408163265306123,0.5102,13853.30318776595,12636,13540.945941979211,12325,312.35724578673944,311
Camden,1468,28585,4006,31192,2538,2607,5.2632,-999999,-999999,6.015,-5.263157894736842,6.015,16081.721264615297,14830,12928.097109734088,11476,3153.6241548812086,3354
Newham,1218,23575,2519,25889,1301,2314,7.9268,2.439,-999999,-999999,-5.487804878048781,0,8706.297331778953,8697,7484.96806586773,7485,1221.329265911223,1212
Cannock Chase,1694,30687,2398,30839,704,152,3.3333,3.3333,1.6667,3.3333,0,1.6667,15946.248197786577,15319,15650.468889115786,14297,295.7793086707916,1022
Torridge,3424,26257,3767,26139,343,-118,-999999,-999999,-999999,-999999,0,0,12758.041108698275,11962,12900.501521399998,11811,-142.46041270172282,151
